BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Date
0,0.022222222,0,0,3,2,6,2,Returning_Visitor,TRUE,TRUE,14-Aug-22
0.005681818,0.012878788,0,0,3,2,1,4,Returning_Visitor,TRUE,FALSE,15-Aug-22
0.013043478,0.023913043,0,0,2,2,4,1,Returning_Visitor,FALSE,FALSE,16-Aug-22
0.008889185,0.030612404,0,0,1,1,3,2,Returning_Visitor,FALSE,FALSE,17-Aug-22
0,0.0125,54.56704868,0,4,1,1,4,New_Visitor,FALSE,TRUE,12-Sep-22
0,0.009722222,0,0,3,2,1,1,Returning_Visitor,TRUE,FALSE,13-Sep-22
0.1,0.1,0,0,4,1,1,2,Returning_Visitor,FALSE,FALSE,14-Sep-22
0.009090909,0.046464646,0,0,2,10,2,1,Returning_Visitor,FALSE,TRUE,15-Sep-22
0.014979592,0.017561939,6.282904602,0,3,2,8,4,Returning_Visitor,TRUE,FALSE,16-Sep-22
0.008888889,0.011659808,0,0,1,2,1,1,Returning_Visitor,FALSE,FALSE,17-Sep-22
0,0.06,0,0,2,2,5,1,Returning_Visitor,FALSE,FALSE,18-Sep-22
0,0.006785714,0,0,3,2,1,6,Returning_Visitor,FALSE,FALSE,19-Sep-22
0,0.016666667,0,0,3,2,3,3,New_Visitor,FALSE,FALSE,20-Sep-22
0.005128205,0.01025641,0,0,2,2,1,2,Returning_Visitor,FALSE,FALSE,21-Sep-22
0.004255319,0.016960486,0,0,2,2,1,3,Returning_Visitor,TRUE,FALSE,22-Sep-22
0,0.00625,0,0,2,2,6,3,New_Visitor,FALSE,FALSE,23-Sep-22
0.025510204,0.035488428,4.348145623,0,1,1,4,1,Returning_Visitor,TRUE,FALSE,7-Oct-22
0,0.01660575,0,0,2,2,5,2,Returning_Visitor,FALSE,FALSE,8-Oct-22
0,0.04,36.66178288,0,2,2,2,5,New_Visitor,FALSE,TRUE,9-Oct-22
0.018918919,0.043243243,5.128358233,0,2,2,7,1,Returning_Visitor,FALSE,TRUE,10-Oct-22
0,0.010526316,0,0,1,1,3,2,Returning_Visitor,TRUE,FALSE,11-Oct-22
0,0.001666667,0,0,2,4,4,2,Returning_Visitor,FALSE,FALSE,12-Oct-22
0,0.04,48.04726202,0,2,2,1,4,Returning_Visitor,FALSE,TRUE,13-Oct-22
0,0.066666667,0,0,1,1,7,2,Returning_Visitor,TRUE,FALSE,14-Oct-22
0.05952381,0.085396825,0,0,3,2,1,3,Returning_Visitor,FALSE,FALSE,15-Oct-22
0,0.003571429,51.03362522,0,2,2,5,2,New_Visitor,FALSE,TRUE,16-Oct-22
0.026666667,0.04,0,0,1,1,4,2,New_Visitor,FALSE,FALSE,17-Oct-22
0,0.013333333,0,0,2,2,6,3,Returning_Visitor,FALSE,FALSE,18-Oct-22
0.005797101,0.012314449,7.766280897,0,2,2,8,2,Returning_Visitor,FALSE,FALSE,19-Oct-22
0.012121212,0.016161616,0,0,1,1,6,1,Returning_Visitor,FALSE,FALSE,10-Nov
0,0.007692308,72.52283848,0,1,1,2,2,Returning_Visitor,FALSE,TRUE,11-Nov
0,0,106.2525169,0,1,1,9,2,Returning_Visitor,FALSE,TRUE,12-Nov
0,0.009471471,1.798669862,0,1,1,9,2,Returning_Visitor,FALSE,FALSE,13-Nov
0,0.004761905,60.43737784,0,1,1,1,3,New_Visitor,FALSE,TRUE,14-Nov
0.000684932,0.002998087,19.71529542,0,2,2,1,13,Returning_Visitor,TRUE,TRUE,15-Nov
0,0.019327731,0,0,3,2,7,2,New_Visitor,TRUE,FALSE,16-Nov
0,0.0125,0,0,2,4,9,4,Returning_Visitor,FALSE,FALSE,17-Nov
0,0,0,0,2,2,5,2,Returning_Visitor,FALSE,FALSE,18-Nov
0,0.033333333,0,0,3,2,9,5,New_Visitor,TRUE,FALSE,19-Nov
0,0.007692308,77.4579855,0,2,2,7,2,New_Visitor,FALSE,FALSE,20-Nov
0.005769231,0.033243423,0,0,3,2,3,6,Returning_Visitor,FALSE,FALSE,12-Dec
0.004347826,0.015483092,0,0,2,2,1,2,New_Visitor,FALSE,FALSE,13-Dec
0,0.025,0,0,2,2,9,10,Returning_Visitor,FALSE,FALSE,14-Dec
0.0125,0.029166667,0,0,2,2,1,2,Returning_Visitor,FALSE,FALSE,15-Dec
0,0.033333333,0,0,3,2,6,20,New_Visitor,FALSE,FALSE,16-Dec
0.006896552,0.02183908,0,0,2,2,4,2,New_Visitor,FALSE,FALSE,17-Dec
0,0.020689655,0,0,1,8,1,1,Returning_Visitor,FALSE,FALSE,18-Dec
0.12,0.15,0,0,3,2,1,13,Returning_Visitor,TRUE,FALSE,19-Dec
0,0.014814815,0,0,2,13,9,20,Returning_Visitor,FALSE,FALSE,20-Dec
0.009090909,0.047474747,0,0,4,1,3,1,Returning_Visitor,FALSE,FALSE,21-Dec
0,0.0025,0,0,8,13,9,20,Other,FALSE,FALSE,22-Dec
0.033333333,0.05,0,0,2,2,4,1,Returning_Visitor,TRUE,FALSE,23-Dec
0.2,0.2,0,0,2,2,7,1,Returning_Visitor,TRUE,FALSE,24-Dec
0,0.00952381,0,0,2,4,1,2,New_Visitor,FALSE,FALSE,25-Dec
